QADate,Unit,Energy,MU,DPF,ADPass,RDPass,AD,RD,D4DD,D4DTA,D4Gamma,Area,Circumference,MCS,Span,CoA,MachineType,Mu_per_dpf
01/29/2024,NA11,6X,351.5,200,83,95,91.0,98.0,0.0,0.0,0.0,35.95902777777778,38.595,0.305364,10.61274105006514,0.9317017172633185,Agility,1.7575
01/29/2024,NA11,6X,272.7,200,83,95,89.4,96.1,0.0,0.0,0.0,34.94341666666667,39.75011111111111,0.286977,11.13452681997505,0.8790772073313563,Agility,1.3635
01/29/2024,NA11,6X,263.4,200,75,90,82.3,96.1,0.0,0.0,0.0,79.26166666666666,84.2748888888889,0.195694,20.88740297715328,0.9405134520102203,Agility,1.317
01/29/2024,NA11,6X,347.9,200,75,90,85.8,98.2,0.0,0.0,0.0,67.14372222222222,81.475,0.180839,20.957127571351407,0.8241021444887662,Agility,1.7394999999999998
01/29/2024,NA11,6X,335.7,200,75,90,83.7,95.2,0.0,0.0,0.0,60.51638888888889,78.804,0.132278,22.460568692234524,0.7679354967880931,Agility,1.6784999999999999
01/29/2024,NA11,6X,370.4,200,75,90,85.0,98.3,0.0,0.0,0.0,69.22833333333334,80.20488888888889,0.14745,21.721921493205112,0.8631435601043994,Agility,1.8519999999999999
01/29/2024,NA11,6X,690.1,400,75,90,85.7,98.0,0.0,0.0,0.0,39.10058333333333,33.980888888888884,0.391856,9.278944704414462,1.1506639352838852,Agility,1.72525
01/29/2024,NA11,6X,91.1,200,75,90,87.5,96.3,0.0,0.0,0.0,161.78642857142856,139.63238095238094,0.371676,29.382947748612366,1.1586598142060103,Agility,0.45549999999999996
01/29/2024,NA11,6X,208.8,200,75,90,87.9,97.5,0.0,0.0,0.0,184.10704225352114,162.55267605633804,0.218259,33.52155414768596,1.132599270095761,Agility,1.044
01/29/2024,NA11,6X,265.8,200,75,90,81.0,96.5,0.0,0.0,0.0,135.61478873239437,151.47436619718312,0.191457,32.317569171691744,0.8952986048864308,Agility,1.329
01/29/2024,NA11,6X,80.0,200,75,90,86.2,94.9,0.0,0.0,0.0,178.76857142857142,157.77904761904762,0.333737,26.90422930789694,1.1330311224859357,Agility,0.4
01/29/2024,NA11,6X,718.0,500,75,90,83.3,98.7,0.0,0.0,0.0,64.62122448979594,54.8565306122449,0.300132,14.894113255437496,1.178004218797085,Agility,1.436
01/29/2024,NA11,6X,834.3,500,75,90,87.6,97.9,0.0,0.0,0.0,65.98244897959184,89.35816326530613,0.197576,25.577855487389805,0.7384042662525264,Agility,1.6685999999999999
01/29/2024,NA11,6X,765.0,500,75,90,85.1,97.3,0.0,0.0,0.0,68.27801020408162,91.15020408163265,0.143244,24.59841335594136,0.749071391468668,Agility,1.53
01/29/2024,NA11,6X,130.5,500,75,90,86.1,94.3,0.0,0.0,0.0,182.0476923076923,120.33153846153846,0.57279,23.349423509057097,1.5128842748560067,Agility,0.261
